site_ID,latt,long
81,-43.33,145.92
82,-43.55,146.26
83,-43.53,146.90
84,-43.29,147.16
146,-42.99,145.51
147,-43.11,145.71
150,-43.04,147.35
151,-43.06,147.89
212,-42.31,145.20
217,-42.60,148.01
218,-42.53,148.11
278,-42.20,145.18
284,-41.92,148.30
350,-41.28,148.34
409,-40.94,144.63
410,-40.86,145.49
411,-40.92,145.62
412,-41.13,146.20
413,-41.05,146.79
415,-40.81,147.64
416,-41.09,148.32
481,-40.30,147.86
482,-40.56,148.26
539,-40.04,143.91
540,-39.88,144.14
547,-40.05,147.78
548,-39.95,148.35
605,-39.67,143.83
611,-39.48,146.65
612,-39.46,147.32
613,-39.70,147.94
676,-39.06,146.37
677,-39.22,147.00
733,-38.40,141.66
734,-38.40,142.36
738,-38.39,144.26
739,-38.30,144.68
741,-38.67,145.65
804,-38.09,144.45
805,-38.06,144.77
806,-38.16,145.09
811,-37.89,147.97
812,-37.87,148.06
813,-37.82,148.79
814,-37.80,149.27
861,-37.49,140.01
881,-37.53,149.92
927,-36.99,139.68
947,-37.09,149.95
993,-36.72,139.78
1013,-36.59,150.05
1014,-36.27,150.18
1053,-35.79,136.70
1055,-35.75,138.05
1056,-35.76,138.15
1080,-35.88,150.21
1119,-35.45,136.89
1120,-35.61,137.25
1121,-35.72,137.96
1122,-35.46,138.26
1123,-35.58,138.62
1145,-35.04,116.93
1146,-35.62,150.33
1147,-35.06,117.97
1148,-34.99,118.24
1183,-34.91,136.01
1184,-35.06,136.28
1185,-34.98,136.96
1186,-35.07,137.27
1187,-35.10,137.72
1188,-35.07,138.47
1207,-34.26,115.02
1208,-34.38,115.14
1213,-35.09,150.76
1215,-34.49,118.92
1216,-34.44,119.39
1217,-34.37,119.60
1247,-34.64,134.80
1248,-34.41,135.29
1249,-34.70,135.97
1250,-34.56,136.26
1252,-34.49,137.41
1253,-34.66,137.89
1273,-34.07,114.99
1279,-34.60,150.90
1283,-34.09,119.69
1284,-33.96,120.12
1285,-34.08,120.87
1287,-33.85,121.90
1288,-34.07,122.33
1292,-33.85,124.13
1312,-33.95,134.27
1314,-34.18,135.26
1317,-33.76,137.04
1318,-34.16,137.46
1319,-33.88,137.60
1339,-33.60,115.00
1340,-33.59,115.19
1341,-33.41,115.58
1346,-33.85,151.27
1378,-33.70,134.49
1379,-33.66,134.68
1384,-33.73,137.14
1412,-33.50,151.42
1444,-32.99,134.17
1451,-32.98,137.77
1473,-32.29,115.69
1479,-33.09,151.66
1480,-32.76,152.17
1508,-32.45,133.36
1509,-32.45,133.65
1510,-32.72,134.06
1538,-32.01,115.51
1539,-31.97,115.63
1546,-32.69,152.20
1605,-31.73,115.71
1612,-32.18,152.54
1613,-32.09,152.61
1626,-31.76,159.25
1670,-30.78,115.17
1679,-31.68,152.90
1691,-31.52,159.05
1692,-31.54,159.07
1735,-30.39,115.00
1736,-30.67,115.11
1801,-30.17,114.97
1812,-30.24,153.18
1878,-30.07,153.30
1889,-29.94,159.04
1890,-29.93,159.08
1931,-28.86,114.01
1944,-29.70,153.40
1955,-29.45,159.05
1956,-29.44,159.09
1997,-28.58,113.79
2039,-29.06,167.95
2064,-28.19,114.24
2077,-28.61,153.63
2142,-27.94,153.43
2208,-27.43,153.48
2326,-26.11,113.27
2340,-26.36,153.10
2406,-25.90,153.18
2536,-24.86,152.48
2657,-23.33,113.78
2668,-23.89,152.39
2723,-23.12,113.76
2733,-23.37,151.80
2734,-23.67,152.29
2740,-23.27,155.55
2741,-23.24,155.56
2797,-23.18,150.95
2798,-23.16,151.07
2799,-23.18,151.91
2855,-21.98,113.92
2856,-21.86,114.17
2866,-22.38,152.54
2922,-21.65,114.37
2924,-21.32,115.17
2931,-21.79,151.88
2932,-21.88,152.36
2934,-21.89,153.54
2935,-21.91,153.59
2938,-22.18,155.35
2990,-20.91,115.49
2991,-20.76,115.58
2994,-21.65,150.24
3005,-21.25,155.76
3056,-20.46,115.52
3057,-20.51,115.58
3058,-20.58,116.51
3059,-20.51,116.67
3060,-20.43,117.09
3061,-20.25,117.89
3062,-20.29,118.48
3068,-20.99,154.38
3071,-21.20,155.77
3123,-20.38,148.89
3128,-20.15,118.48
3188,-19.98,148.26
3189,-20.07,148.91
3190,-19.80,149.15
3191,-20.03,149.70
3196,-19.58,119.11
3253,-19.30,147.63
3254,-19.27,148.34
3255,-19.52,148.72
3262,-19.27,152.28
3316,-18.85,146.54
3319,-18.83,147.68
3320,-19.10,148.28
3328,-19.13,152.36
3382,-18.57,146.48
3383,-18.47,146.95
3384,-18.51,147.24
3385,-18.67,147.71
3448,-17.98,146.30
3452,-17.85,148.50
3455,-18.08,149.62
3457,-17.78,150.64
3459,-17.57,118.97
3460,-17.29,119.37
3514,-17.52,146.46
3518,-17.71,148.45
3523,-17.64,150.81
3524,-17.42,151.11
3527,-17.08,119.64
3533,-17.41,155.86
3579,-17.07,146.00
3580,-16.88,146.22
3586,-16.93,149.20
3587,-16.94,149.98
3591,-17.11,151.92
3592,-17.13,152.09
3599,-16.41,123.04
3600,-16.43,123.08
3632,-16.36,139.40
3633,-16.35,139.61
3644,-16.52,145.53
3645,-16.49,145.81
3646,-16.70,146.23
3649,-16.50,147.85
3653,-16.29,149.96
3654,-16.55,150.29
3697,-15.94,139.00
3698,-16.23,139.25
3711,-16.03,145.81
3761,-15.47,137.92
3766,-15.49,140.15
3780,-15.49,147.10
3842,-14.75,145.52
3891,-14.33,136.91
3908,-14.65,145.46
3909,-14.67,145.66
3927,-14.08,121.86
3971,-13.96,143.84
3972,-13.94,144.42
3973,-14.00,144.69
3976,-13.85,146.55
3977,-13.91,146.62
3993,-13.62,122.00
4022,-13.68,136.45
4064,-12.80,124.28
4089,-12.88,136.72
4103,-12.93,143.82
4127,-12.24,122.99
4129,-12.56,124.04
4143,-12.43,130.81
4168,-12.31,143.40
4169,-12.45,143.72
4193,-12.23,123.00
4194,-11.98,123.35
4219,-11.95,135.61
4221,-12.08,136.78
4234,-12.09,143.26
4235,-11.99,143.68
4281,-11.34,133.78
4282,-11.43,134.14
4286,-11.55,136.43
4287,-11.65,136.85
4301,-11.48,143.86
4339,-11.14,129.91
4340,-10.90,130.10
4345,-10.91,133.00
4353,-11.23,136.69
4357,-10.44,105.65
4362,-10.74,141.06
4365,-10.98,143.00
4366,-11.23,143.35
4411,-10.32,132.71
4428,-10.51,141.31
4429,-10.60,141.91
4430,-10.25,142.47
4432,-10.52,143.09
4433,-10.30,143.74
4434,-10.41,144.47
4470,-9.89,129.48
4496,-9.88,142.49
4497,-9.80,142.63
4498,-9.88,143.48
4499,-10.01,143.87
4500,-10.09,144.35
4501,-10.10,144.64
4536,-9.53,129.17
